school,k_hop,auc_in_khop_neighborhood,count_0_friends_khop_class1,count_0_friends_khop_class2
comm24,3,0.69120304887631612,0,0
comm24,4,0.59516512875777372,0,0
comm24,5,0.59051211243573332,0,0
comm25,1,0.72592671358234728,0,0
comm25,2,0.60681050705024098,0,0
comm25,3,0.65867875647668384,0,0
comm25,4,0.57784587425566469,0,0
comm25,5,0.58294022117392319,0,0
comm26,1,0.76114474038202851,0,0
comm26,2,0.63540489642184561,0,0
comm26,3,0.64284369114877593,0,0
comm26,4,0.5405972558514931,0,0
comm26,5,0.53372343287597523,0,0
comm27,1,0.49695121951219512,0,0
comm27,2,0.49216027874564461,0,0
comm27,3,0.46646341463414631,0,0
comm27,4,0.94076655052264802,0,0
comm27,5,0.27831010452961669,0,0
comm28,1,0.75852355038232344,0,0
comm28,2,0.69464022523714153,0,0
comm28,3,0.7106480606679012,0,0
comm28,4,0.64274151896501774,0,0
comm28,5,0.62187748006500132,0,0
comm29,1,0.77629691904455767,0,0
comm29,2,0.66551481133475099,0,0
comm29,3,0.69084738638049548,0,0
comm29,4,0.61479402601256117,0,0
comm29,5,0.59150140942584439,0,0
comm3,1,0.73828125,0,0
comm3,2,0.328125,0,0
comm3,3,0.50390625,0,0
comm3,4,0.03125,0,0
comm3,5,0.0859375,0,0
comm30,1,0.76451772815258956,0,0
comm30,2,0.6299277654501676,0,0
comm30,3,0.68738492044757094,0,0
comm30,4,0.59386950568906105,0,0
comm30,5,0.60113623845270125,0,0
comm31,1,0.83275658701578692,0,0
comm31,2,0.74902942577938869,0,0
comm31,3,0.78133372911410204,0,0
comm31,4,0.72475140020466022,0,0
comm31,5,0.72631369271268653,0,0
comm32,1,0.77212814391205364,0,0
comm32,2,0.63143079229359833,0,0
comm32,3,0.69721559047248893,0,0
comm32,4,0.61341680084392869,0,0
comm32,5,0.62812725556604299,0,0
comm33,1,0.68394146640863285,0,0
comm33,2,0.58639017801410009,0,0
comm33,3,0.65220758778055443,0,0
comm33,4,0.5859961336681927,0,0
comm33,5,0.60080541620477357,0,0
comm34,1,0.66139125602659754,0,0
comm34,2,0.53361712674562156,0,0
comm34,3,0.58579554244903242,0,0
comm34,4,0.48875982331452605,0,0
comm34,5,0.50820438177449545,0,0
comm35,1,0.73132364493322854,0,0
comm35,2,0.64335652564246426,0,0
comm35,3,0.68234204915273255,0,0
comm35,4,0.61644877118168551,0,0
comm35,5,0.62015486477387505,0,0
comm36,1,0.69719011949349019,0,0
comm36,2,0.55904449794899236,0,0
comm36,3,0.62447298020331732,0,0
comm36,4,0.54007981095059754,0,0
comm36,5,0.55799447119671841,0,0
comm37,1,0.63919836956521736,0,0
comm37,2,0.55125679347826095,0,0
comm37,3,0.59510869565217395,0,0
comm37,4,0.53182744565217399,0,0
comm37,5,0.53254076086956526,0,0
comm38,1,0.75693673695893438,0,0
comm38,2,0.6806659267480577,0,0
comm38,3,0.68428412874583788,0,0
comm38,4,0.60167221605623378,0,0
comm38,5,0.5557380688124306,0,0
comm39,1,0.71217414168732618,0,0
comm39,2,0.61254058881960616,0,0
comm39,3,0.65481973973071561,0,0
comm39,4,0.57747977862920385,0,0
comm39,5,0.58200402340587154,0,0
comm4,1,0.6609062980030721,0,0
comm4,2,0.46628264208909376,0,0
comm4,3,0.46100870455709164,0,0
comm4,4,0.3194572452636969,0,0
comm4,5,0.28581669226830519,0,0
comm40,1,0.72482570739286878,0,0
comm40,2,0.63247209273797844,0,0
comm40,3,0.68034480291135102,0,0
comm40,4,0.604936416421328,0,0
comm40,5,0.59819522816486748,0,0
comm41,1,0.70772665632821896,0,0
comm41,2,0.59882839494154982,0,0
comm41,3,0.66002972384008118,0,0
comm41,4,0.59252171700475453,0,0
comm41,5,0.60546999617368213,0,0
comm42,1,0.66277618235188163,0,0
comm42,2,0.62448525437917923,0,0
comm42,3,0.64013055411319641,0,0
comm42,4,0.59264679390041008,0,0
comm42,5,0.58860936556211385,0,0
comm43,1,0.6926719617274264,0,0
comm43,2,0.56662184129084947,0,0
comm43,3,0.64007297530708662,0,0
comm43,4,0.56425105448408064,0,0
comm43,5,0.58213288851989731,0,0
comm44,1,0.73452308065153893,0,0
comm44,2,0.6137386956466282,0,0
comm44,3,0.65669204964349037,0,0
comm44,4,0.56766986823811538,0,0
comm44,5,0.56513157055574692,0,0
comm45,1,0.662600039968406,0,0
comm45,2,0.53114918683326517,0,0
comm45,3,0.61564430021982619,0,0
comm45,4,0.51084856732297323,0,0
comm45,5,0.52810397495313222,0,0
comm46,1,0.68216065423149885,0,0
comm46,2,0.594954043182926,0,0
comm46,3,0.64965948821534658,0,0
comm46,4,0.58146595408175783,0,0
comm46,5,0.59730886978843378,0,0
comm47,1,0.69990158822126036,0,0
comm47,2,0.6235408643195528,0,0
comm47,3,0.64683378207968378,0,0
comm47,4,0.58398657169148982,0,0
comm47,5,0.56926314713199966,0,0
