school,raw_F_count,raw_M_count,raw_?_count,cc_F_count,cc_M_count,ratio_F,cc_average_degree_F,cc_average_degree_M,cc_max_deg_F,cc_max_deg_M,cc_homophily_F,cc_homophily_M,b0_glm_F,b0_dispmod_glm_F,b0_glm_M,b0_dispmod_glm_M,cc_monophily_F,cc_monophily_M,chi_square_p_value_F,chi_square_p_value_M,cc_monophily_F_beta_binom,cc_monophily_M_beta_binom
comm29,296,282,0,278,243,0.53358925143953939,5.7338129496402876,5.761316872427984,10,10,0.62735257214554574,0.57571428571428562,0.62735257214554574,0.62735257214554574,0.57571428571428551,0.57652674039300522,0.0,0.00384409119350802,0.7651936762810684,0.42770395193831934,2.875148540126537e-08,8.066352612922585e-08
comm3,16,16,0,13,15,0.4642857142857143,3.5384615384615383,4.5333333333333332,8,8,0.43478260869565222,0.64705882352941169,0.43478260872177582,0.48141337204886198,0.64705882352941169,0.64705882352941169,0.1314297479531218,0.0,0.2621218599848969,0.8598194106676056,1.2236314977822225e-08,2.4794572214974617e-10
comm30,360,381,5,326,296,0.52411575562700963,5.0705521472392636,4.7398648648648649,10,10,0.6231094978826377,0.56307911617961515,0.6231094978826377,0.6231094978826377,0.56307911617961504,0.56980503954564432,0.0,0.046727941953882766,0.998602487778564,0.05631156550244054,2.8382536859127262e-08,8.541191289169448e-08
comm31,361,533,6,214,256,0.4553191489361702,3.4626168224299065,2.8671875,9,9,0.7031039136302295,0.66485013623978206,0.70310391363022851,0.70310391363022851,0.66485013623978195,0.68784426751643679,0.0,0.10674586972491457,0.6223863361255846,0.022191636715801377,5.642272529368284e-07,0.1593135169509186
comm32,444,429,4,395,363,0.52110817941952503,5.2025316455696204,4.8264462809917354,10,10,0.62968369829683701,0.55707762557077634,0.6296836982968369,0.6296836982968369,0.55707762557077622,0.55707762557077622,0.0,0.0,0.9230647384338626,0.5092477893403035,3.323337847696281e-08,1.7732809024278055e-08
comm33,1127,1109,14,808,581,0.58171346292296622,3.266089108910891,3.1583476764199654,9,9,0.66199317923455847,0.53405994550408731,0.66199317923455792,0.66199317923455792,0.5340599455040782,0.53786273637372861,0.0,0.0490196212256201,0.9763162681028115,0.07692845697289785,4.330887656261519e-08,5.2342151797835604e-08
comm34,896,777,8,763,572,0.57153558052434461,4.5281782437745743,4.4318181818181817,10,10,0.62257597684515187,0.48875739644970417,0.62257597684515165,0.62257597684515165,0.48875739644972649,0.48875739644972649,0.0,0.0,0.996252446348369,0.8346485038930407,2.938986672064784e-08,6.543973204481261e-09
comm35,476,395,2,422,299,0.58529819694868235,4.4360189573459712,4.6655518394648832,10,10,0.6907051282051283,0.53046594982078854,0.69070512820512442,0.69070512820512442,0.5304659498074471,0.53165855009062868,0.0,0.0104237210759741,0.9218743107992168,0.3517203108124801,8.494855600142787e-08,2.8780832190880063e-08
comm36,1091,1085,33,959,836,0.53426183844011144,4.8925964546402501,4.6614832535885169,10,10,0.62489343563512356,0.52219656145753135,0.62489343563512278,0.62489343563512278,0.5221965614571461,0.5221965614571461,0.0,0.0,0.9996891810013069,0.9739363619585878,1.726720252341142e-08,1.1220533410505012e-09
comm37,274,153,0,198,100,0.66442953020134232,2.4797979797979797,2.6800000000000002,7,8,0.6985743380855397,0.41791044776119407,0.69857433808553981,0.69857433808553981,0.41791044778747838,0.41646687833445528,0.0,0.057737628567568235,0.8997360348179116,0.2856403740146183,2.7607394114985317e-12,4.395717048086961e-07
comm38,272,269,1,247,230,0.51781970649895182,4.5870445344129553,4.5608695652173914,9,10,0.62047661076787297,0.58627264061010487,0.62047661076787308,0.62108144756865646,0.58627264061010476,0.58858048228088344,0.002811877190912927,0.013437877504685617,0.44936959902904183,0.3281345293720823,8.453211506401999e-08,6.753343648679322e-08
comm39,526,476,6,495,386,0.56186152099886488,5.1191919191919188,4.9352331606217614,10,10,0.64996053670086817,0.52073490813648293,0.64996053670086784,0.64996053670086784,0.52073490813202661,0.52230852994373123,0.0,0.0113381080686213,0.983952917166098,0.31535286808830154,3.1020163011245055e-08,1.5716436607835412e-07
comm4,159,132,0,140,102,0.57851239669421484,4.9642857142857144,5.3235294117647056,9,10,0.65035971223021583,0.47513812154696133,0.6503597122302156,0.6503597122302156,0.47513812154715068,0.47513812154715068,0.0,0.0,0.9180913683195068,0.8940870427620815,1.1295422126536312e-08,4.5470794517752295e-08
comm40,976,1045,16,913,886,0.50750416898276818,5.3745892661555308,5.3544018058690748,10,10,0.60790707153046675,0.55122259696458675,0.60790707153046697,0.60790707153046697,0.55122259690624664,0.55122259690624664,0.0,0.0,0.9995119941326183,0.9981119458675328,2.9085118323576436e-08,6.000059759671534e-09
comm41,1142,941,17,1038,734,0.58577878103837466,5.2861271676300579,5.0204359673024523,10,10,0.63276836158192085,0.51207598371777474,0.63276836158192018,0.63276836158192018,0.5120759837175739,0.51424434804033214,0.0,0.016808587413688784,0.9999760637934283,0.17049120510763505,6.21184797767918e-08,3.5610894766220233e-08
comm42,828,665,21,658,339,0.65997993981945835,4.3145896656534957,4.1887905604719764,10,10,0.69249735822472702,0.43521126760563378,0.69249735822472624,0.69249735822472624,0.43521126760591455,0.43845087912618741,0.0,0.10280782543627404,0.7773329875756241,0.001716976812115023,3.92385446225917e-08,0.02302830699781471
comm43,890,819,14,732,575,0.56006120887528688,4.1010928961748636,4.0486956521739135,10,10,0.64157228514323783,0.53823024054982815,0.64157228514323672,0.64157228514323672,0.53823024054701352,0.53823024054701352,0.0,0.0,0.7939432909993045,0.7763285088778842,1.7068360945807537e-08,1.9952173263868112e-08
