school,percent_initially_unlabeled,1_MV_gender_mean_auc_wt,1_MV_gender_se_auc_wt,2_MV_gender_mean_auc_wt,2_MV_gender_se_auc_wt,1_MV_gender_mean_auc_micro,1_MV_gender_se_auc_micro,2_MV_gender_mean_auc_micro,2_MV_gender_se_auc_micro,1_MV_gender_mean_accuracy,1_MV_gender_se_accuracy,2_MV_gender_mean_accuracy,2_MV_gender_se_accuracy
William77,0.5,0.75532685152754442,0.0040937727839474624,0.82674807056099742,0.013110406881792817,0.75532685152754442,0.0040937727839474624,0.82674807056099742,0.013110406881792817,0.68915015115888478,0.0065190511095509201,0.74829022505878395,0.016599612241238439
Brandeis99,0.5,0.58939832053556174,0.0099313872027240145,0.75280613696603982,0.027735361229886919,0.58939832053556174,0.0099313872027240145,0.75280613696603982,0.027735361229886919,0.55603399433427758,0.012508806454146718,0.6887648725212463,0.035327226560618423
Cal65,0.5,0.58434027282271339,0.0057467567911274929,0.78238853703400879,0.0086416723360114717,0.58434027282271339,0.0057467567911274929,0.78238853703400879,0.0086416723360114717,0.5465032987747408,0.0045816314647756408,0.58183977379830365,0.012902676538744336
Maine59,0.5,0.54834052031768721,0.0045369565032260511,0.77739974805947298,0.010192627887420903,0.54834052031768721,0.0045369565032260511,0.77739974805947298,0.010192627887420903,0.53142789373814048,0.0052464412620006158,0.70723908918406053,0.014737260702430038
Williams40,0.5,0.68327978790855493,0.0061956548908470221,0.74930332861500049,0.024528808624451157,0.68327978790855493,0.0061956548908470221,0.74930332861500049,0.024528808624451157,0.62985781990521328,0.0070931893588131595,0.67319905213270148,0.026099804995605946
Dartmouth6,0.5,0.69046552450372567,0.0089112943247587756,0.8039982716766102,0.010467215227184726,0.69046552450372567,0.0089112943247587756,0.8039982716766102,0.010467215227184726,0.63799456357595896,0.0085020570320438939,0.66524614919963765,0.020347094419518569
Cornell5,0.5,0.68405386059592777,0.0035949041767149104,0.79421477492812675,0.0078618946333366396,0.68405386059592777,0.0035949041767149104,0.79421477492812675,0.0078618946333366396,0.6267676165494217,0.0040874372278495554,0.61592702992726833,0.013794850837346882
UNC28,0.5,0.64757666040792117,0.0035187339890026276,0.77725473762546438,0.0071947801077092274,0.64757666040792117,0.0035187339890026276,0.77725473762546438,0.0071947801077092274,0.60394909004401087,0.0032046411238890403,0.69950517425954573,0.011485234807739542
UChicago30,0.5,0.60085172771185502,0.0070485196513410328,0.7208748456441455,0.011170040411028119,0.60085172771185502,0.0070485196513410328,0.7208748456441455,0.011170040411028119,0.56871812308738523,0.0092573013025815231,0.6314382862971778,0.018081722277057708
MIT8,0.5,0.7160144993775075,0.0081952190529180399,0.80204718420849064,0.012173193191528696,0.7160144993775075,0.0081952190529180399,0.80204718420849064,0.012173193191528696,0.61937823834196903,0.007094977910732196,0.48865284974093265,0.01435742268100674
Pepperdine86,0.5,0.65968126903717128,0.0099713950782948074,0.80456555100337668,0.018868982347347456,0.65968126903717128,0.0099713950782948074,0.80456555100337668,0.018868982347347456,0.62341075794621026,0.0061517685320660476,0.7348655256723714,0.028240153891372376
GWU54,0.5,0.57304191489782286,0.0034704391204865748,0.78120449947334125,0.010833476634251613,0.57304191489782286,0.0034704391204865748,0.78120449947334125,0.010833476634251613,0.54034242910647401,0.0036042725772479638,0.68954699482789361,0.019043465396048929
UCSD34,0.5,0.60200520899107968,0.0045792429962814192,0.74052464133547613,0.0083399790243005711,0.60200520899107968,0.0045792429962814192,0.74052464133547613,0.0083399790243005711,0.5709649502379921,0.0043617300358233411,0.6805957017164288,0.011309086924920345
Reed98,0.5,0.53886342751091365,0.022790362930037229,0.65950047418733693,0.02047374357796462,0.53886342751091365,0.022790362930037229,0.65950047418733693,0.02047374357796462,0.53023255813953496,0.01560047426162643,0.573232558139535,0.04488130491147798
Mississippi66,0.5,0.67854847761556836,0.0059180224805833459,0.8196322220960981,0.012305289428189523,0.67854847761556836,0.0059180224805833459,0.8196322220960981,0.012305289428189523,0.63900752491356516,0.0056155362555777204,0.61844620703681097,0.015020322424337193
Wake73,0.5,0.75125606978081305,0.0080831901209102563,0.82368530106686177,0.018751455562828263,0.75125606978081305,0.0080831901209102563,0.82368530106686177,0.018751455562828263,0.68218737434660226,0.0074494320206647388,0.61381182147165247,0.019092786643281071
NYU9,0.5,0.5536573778423739,0.0040004104610782184,0.77252197961610858,0.0078905731349358989,0.5536573778423739,0.0040004104610782184,0.77252197961610858,0.0078905731349358989,0.52049714342988884,0.0038627135055736392,0.65341585646988065,0.014540784394304675
Villanova62,0.5,0.69387263737190341,0.0061773199873285554,0.83824786949767693,0.0098967371965478796,0.69387263737190341,0.0061773199873285554,0.83824786949767693,0.0098967371965478796,0.64022171688459351,0.0059842391385241953,0.63457077885162017,0.017753477494117206
UCSC68,0.5,0.49708200679585318,0.0077345055044389438,0.73149368146528815,0.011402167122726584,0.49708200679585318,0.0077345055044389438,0.73149368146528815,0.011402167122726584,0.4935568235853543,0.0036500709794633551,0.68581074655254415,0.009253823752171245
UCSB37,0.5,0.53837150799089684,0.0043172281168545445,0.76970134181056826,0.0088280918922772449,0.53837150799089684,0.0043172281168545445,0.76970134181056826,0.0088280918922772449,0.5276510259721624,0.0053126382758683227,0.70988664083799691,0.0088358596836441705
Johns Hopkins55,0.5,0.67495235124805741,0.0063341895299152285,0.76695893782071023,0.015326688553526717,0.67495235124805741,0.0063341895299152285,0.76695893782071023,0.015326688553526717,0.61191885038038885,0.0065934065934066055,0.53907016060862212,0.016422532788976638
FSU53,0.5,0.56443018927646305,0.0041598050664651666,0.78725924603876618,0.0050140040729232073,0.56443018927646305,0.0041598050664651666,0.78725924603876618,0.0050140040729232073,0.54615092043207059,0.0041980104656449231,0.72769055225924228,0.0053437058089461868
Texas80,0.5,0.6493573739804841,0.0020938024009314205,0.72993461052798958,0.0073890527694439436,0.6493573739804841,0.0020938024009314205,0.72993461052798958,0.0073890527694439436,0.60752680874168596,0.0021716459286192985,0.64442446043165458,0.0065372836931894733
Northeastern19,0.5,0.57010231570110548,0.0066909680419281106,0.80823042937325995,0.0062835570815586569,0.57010231570110548,0.0066909680419281106,0.80823042937325995,0.0062835570815586569,0.54238625812441965,0.0054275207224410522,0.72822346022903106,0.011962442587333724
