school,percent_initially_unlabeled,1_MV_gender_mean_auc_wt,1_MV_gender_se_auc_wt,2_MV_gender_mean_auc_wt,2_MV_gender_se_auc_wt,1_MV_gender_mean_auc_micro,1_MV_gender_se_auc_micro,2_MV_gender_mean_auc_micro,2_MV_gender_se_auc_micro
UGA50,0.5,0.6841886903907155,0.0035757674982179904,0.7831304146929754,0.0071297889967087795,0.6841886903907155,0.0035757674982179904,0.7831304146929754,0.0071297889967087795
BU10,0.5,0.59184401499042771,0.004422460922562218,0.80718298946684686,0.0054814304804748932,0.59184401499042771,0.004422460922562218,0.80718298946684686,0.0054814304804748932
Bowdoin47,0.5,0.62498631181343223,0.011606783387128877,0.74056854590483778,0.033920692778371848,0.62498631181343223,0.011606783387128877,0.74056854590483778,0.033920692778371848
Berkeley13,0.5,0.63011261199208957,0.0042238804010184729,0.76606375583934128,0.0070729138439061725,0.63011261199208957,0.0042238804010184729,0.76606375583934128,0.0070729138439061725
Simmons81,0.5,0.56975513732882854,0.079720646887779231,0.68463396179225422,0.1018846990396355,0.56975513732882854,0.079720646887779231,0.68463396179225422,0.1018846990396355
Oberlin44,0.5,0.57939206191458259,0.010989554711148182,0.72183883920631553,0.018979245225107268,0.57939206191458259,0.010989554711148182,0.72183883920631553,0.018979245225107268
Colgate88,0.5,0.69253495850207858,0.010465882940482089,0.83639090847420117,0.018920403407300806,0.69253495850207858,0.010465882940482089,0.83639090847420117,0.018920403407300806
UVA16,0.5,0.71636704523178907,0.004247298209802324,0.8100520142997587,0.0067172172009832623,0.71636704523178907,0.004247298209802324,0.8100520142997587,0.0067172172009832623
Rice31,0.5,0.60794168443756058,0.0082644155615187141,0.72105424115497496,0.01884575240864237,0.60794168443756058,0.0082644155615187141,0.72105424115497496,0.01884575240864237
Wellesley22,0.5,0.80806128005135558,0.049517229217926034,0.82695912844221098,0.06062852890722166,0.80806128005135558,0.049517229217926034,0.82695912844221098,0.06062852890722166
Bucknell39,0.5,0.71783178349383769,0.0091077035840527315,0.83866981753042114,0.014305126674782738,0.71783178349383769,0.0091077035840527315,0.83866981753042114,0.014305126674782738
Vassar85,0.5,0.54419857207697053,0.011290664896937296,0.73713491558736333,0.025499268051960119,0.54419857207697053,0.011290664896937296,0.73713491558736333,0.025499268051960119
Virginia63,0.5,0.64205753291557788,0.0039668605150455097,0.80938044849154733,0.0059459844336318081,0.64205753291557788,0.0039668605150455097,0.80938044849154733,0.0059459844336318081
Stanford3,0.5,0.6265468263137709,0.0056508614926176742,0.73602238788589214,0.010316379770569437,0.6265468263137709,0.0056508614926176742,0.73602238788589214,0.010316379770569437
Auburn71,0.5,0.65171775846251478,0.004152217658306475,0.78360661993038905,0.0073915887186169075,0.65171775846251478,0.004152217658306475,0.78360661993038905,0.0073915887186169075
Hamilton46,0.5,0.71400978543787641,0.011340245618112702,0.81653915486106143,0.029813538042199991,0.71400978543787641,0.011340245618112702,0.81653915486106143,0.029813538042199991
Penn94,0.5,0.59383381972571336,0.0025375340592492957,0.79547893850016849,0.0046289689162917549,0.59383381972571336,0.0025375340592492957,0.79547893850016849,0.0046289689162917549
Bingham82,0.5,0.58806746520000897,0.0048086918746828421,0.79322980869221671,0.0091678451066068718,0.58806746520000897,0.0048086918746828421,0.79322980869221671,0.0091678451066068718
