school,k_hop,auc_in_khop_neighborhood,count_0_friends_khop_class1,count_0_friends_khop_class2
UConn91,5,0.53124420975047115,0,0
UCF52,1,0.55500165026918391,0,0
UCF52,2,0.77791922666686886,0,0
UCF52,3,0.51215714049672245,0,0
UCF52,4,0.60236883108346861,0,0
UCF52,5,0.51451630314167163,0,0
UF21,1,0.64989273000719117,0,0
UF21,2,0.78994370915124401,0,0
UF21,3,0.58147280317081773,0,0
UF21,4,0.62023385755841953,0,0
UF21,5,0.51994423245553123,0,0
UC64,1,0.51447530606249714,0,0
UC64,2,0.74669470519261549,0,0
UC64,3,0.51794102000647579,0,0
UC64,4,0.63912190102807376,0,0
UC64,5,0.55571736204980171,0,0
Princeton12,1,0.70235648287352703,0,0
Princeton12,2,0.80762137282069957,0,0
Princeton12,3,0.6235292075233122,0,0
Princeton12,4,0.6271724613778149,0,0
Princeton12,5,0.55116004504148519,0,0
Oklahoma97,1,0.6732958832792072,0,0
Oklahoma97,2,0.79408053442337767,0,0
Oklahoma97,3,0.62266690191420948,0,0
Oklahoma97,4,0.62395529922638227,0,0
Oklahoma97,5,0.56699188350485075,0,0
Wesleyan43,1,0.59018529528339281,0,0
Wesleyan43,2,0.74271541815299247,0,0
Wesleyan43,3,0.59738030122869601,0,0
Wesleyan43,4,0.59475009908838683,0,0
Wesleyan43,5,0.56332362267142289,0,0
Columbia2,1,0.69701039351569227,0,0
Columbia2,2,0.79922337039325242,0,0
Columbia2,3,0.6969042490233176,0,0
Columbia2,4,0.69474735468799875,0,0
Columbia2,5,0.6561200351535259,0,0
Howard90,1,0.39748758087847763,0,0
Howard90,2,0.90454155927625901,0,0
Howard90,3,0.29740380308115794,0,0
Howard90,4,0.75261263377446275,0,0
Howard90,5,0.35175815335910898,0,0
Santa74,1,0.59396806159223292,0,0
Santa74,2,0.82333019080064906,0,0
Santa74,3,0.52837974463490844,0,0
Santa74,4,0.62263161950932155,0,0
Santa74,5,0.48944612245601776,0,0
UMass92,1,0.50661761801652094,0,0
UMass92,2,0.83122506209324154,0,0
UMass92,3,0.44677255454968806,0,0
UMass92,4,0.71053999776587851,0,0
UMass92,5,0.49202307646681415,0,0
Trinity100,1,0.64851702876272443,0,0
Trinity100,2,0.78974303135888513,0,0
Trinity100,3,0.61514377092300343,0,0
Trinity100,4,0.60207756883241104,0,0
